[Captain/0, Peasant/0, Hero/3, Hero/3, Hero/3, Hero/3, Queen/3] = 15 - [Hero/3, Soldier/1, Potter/1, Potter/1, Potter/1, Potter/1, Shaman/7] = 15
[Captain/0, Peasant/0, Queen/3, Queen/3, Queen/3, Queen/3, Queen/3] = 15 - [Hero/3, Hero/3, Hero/3, Hero/3, Soldier/1, Soldier/1, Potter/1] = 15
[Captain/2, Mage/4, Hero/3, Hero/3, Hero/3] = 15 - [Hero/3, Soldier/0, Scribe/0, Scribe/0, Scribe/0, Queen/3, Queen/3, Queen/3, Queen/3] = 15
[Captain/2, Shaman/9, Hero/3, Hero/3, Shaman/9] = 26 - [Hero/3, Hero/3, Hero/3, Soldier/0, Shaman/5, Queen/3, Queen/3, Queen/3, Queen/3] = 26
[Captain/2, Soldier/0, Hero/3, Hero/3, Hero/3, Hero/3, Peasant/2, Peasant/2, Peasant/2, Queen/3] = 23 - [Hero/0, Shaman/10, Shaman/10, Queen/3] = 23
[Captain/2, Soldier/1, Captain/2, Captain/2, Captain/2, Shaman/6, Shaman/6, Shaman/6] = 27 - [Hero/0, Hero/0, Shaman/8, Shaman/8, Shaman/8, Queen/3] = 27
[Captain/2, Soldier/1, Captain/2, Captain/2, Peasant/2, Peasant/2, Scribe/2, Scribe/2] = 15 - [Hero/3, Hero/3, Soldier/0, Queen/3, Queen/3, Queen/3] = 15
[Captain/2, Soldier/1, Captain/2, Captain/2, Soldier/1, Potter/1, Potter/1, Potter/1, Potter/1, Potter/1] = 13 - [Hero/0, Hero/0, Shaman/10, Queen/3] = 13
[Captain/2, Soldier/1, Hero/3, Captain/2, Captain/2, Captain/2, Potter/1, Peasant/2] = 15 - [Hero/0, Queen/3, Queen/3, Queen/3, Queen/3, Queen/3] = 15
[Captain/2, Soldier/1, Hero/3, Captain/2, Captain/2, Soldier/1, Peasant/2, Peasant/2] = 15 - [Hero/0, Queen/3, Queen/3, Queen/3, Queen/3, Queen/3] = 15
[Captain/2, Soldier/1, Hero/3, Hero/3, Captain/2, Mage/6, Scribe/1] = 18 - [Hero/0, Queen/3, Queen/3, Queen/3, Queen/3, Queen/3, Queen/3] = 18
[Captain/2, Soldier/1, Hero/3, Hero/3, Hero/3, Captain/2, Captain/2, Peasant/2] = 18 - [Queen/3, Queen/3, Queen/3, Queen/3, Queen/3, Queen/3] = 18
